scenario,arch_name,test_type,src_host,dst_ip,description,load_level,bandwidth_target,avg_delay_ms,min_delay_ms,max_delay_ms,ping_loss_pct,throughput_mbps,tcp_throughput_mbps,jitter_ms,udp_loss_pct,timestamp,repeat
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.1.0.101,admin1→host1 [3tier→flat],50Mbps,50M,10.468,8.67,12.75,0.41,49.132,45.548,0.209,0.29,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.3.10.11,admin1→web1 [3tier→leafspine],50Mbps,50M,9.71,8.67,12.75,0.5,49.61,46.916,0.2158,0.24,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.10.12,admin1→admin2 [same-VLAN10],100Mbps,100M,2.179,1.785,2.625,0.13,87.421,86.519,0.2105,0.09,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.20.21,admin1→lab1 [inter-VLAN],100Mbps,100M,2.156,1.785,2.625,0.08,90.975,87.071,0.2148,0.1,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.30.31,admin1→guest1 [inter-VLAN],100Mbps,100M,2.084,1.785,2.625,0.08,91.558,88.632,0.2134,0.07,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.1.0.101,admin1→host1 [3tier→flat],100Mbps,100M,10.705,8.67,12.75,0.44,90.635,86.792,0.2117,0.27,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.3.10.11,admin1→web1 [3tier→leafspine],100Mbps,100M,10.035,8.67,12.75,0.42,88.739,84.216,0.2106,0.35,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.10.12,web1→web2 [same-leaf1],10Mbps,10M,0.876,0.765,1.125,0,10.36,9.092,0.0779,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.20.21,"web1→dns1 [leaf1→leaf2, 2hop]",10Mbps,10M,0.874,0.765,1.125,0,10.436,9.567,0.0798,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.30.31,"web1→db1 [leaf1→leaf3, 2hop]",10Mbps,10M,0.928,0.765,1.125,0,9.597,9.434,0.0794,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.1.0.101,web1→host1 [leafspine→flat],10Mbps,10M,9.002,7.48,11.0,0.33,10.484,9.118,0.0792,0.22,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.2.10.11,web1→admin1 [leafspine→3tier],10Mbps,10M,9.118,7.48,11.0,0.25,9.69,9.451,0.0794,0.21,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.10.12,web1→web2 [same-leaf1],50Mbps,50M,0.877,0.765,1.125,0,49.218,48.724,0.0804,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.20.21,"web1→dns1 [leaf1→leaf2, 2hop]",50Mbps,50M,0.945,0.765,1.125,0,51.822,49.03,0.0828,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.30.31,"web1→db1 [leaf1→leaf3, 2hop]",50Mbps,50M,0.899,0.765,1.125,0,49.01,44.949,0.079,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.1.0.101,web1→host1 [leafspine→flat],50Mbps,50M,8.593,7.48,11.0,0.35,49.277,46.663,0.0837,0.31,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.2.10.11,web1→admin1 [leafspine→3tier],50Mbps,50M,8.849,7.48,11.0,0.34,47.791,46.069,0.0837,0.25,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.10.12,web1→web2 [same-leaf1],100Mbps,100M,0.904,0.765,1.125,0,93.756,93.979,0.08,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.20.21,"web1→dns1 [leaf1→leaf2, 2hop]",100Mbps,100M,0.869,0.765,1.125,0,93.981,90.267,0.0808,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1,10.3.30.31,"web1→db1 [leaf1→leaf3, 2hop]",100Mbps,100M,0.876,0.765,1.125,0,101.929,90.83,0.0808,0,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.1.0.101,web1→host1 [leafspine→flat],100Mbps,100M,8.729,7.48,11.0,0.32,98.323,97.246,0.0776,0.27,20260418_004907,3
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1,10.2.10.11,web1→admin1 [leafspine→3tier],100Mbps,100M,8.57,7.48,11.0,0.28,99.784,91.331,0.0785,0.28,20260418_004907,3
